programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
net,".NET, SQL, VBA",25000.0,35000.0,"['net', 'sql', 'vba']"
sql,".NET, SQL, VBA",25000.0,35000.0,"['net', 'sql', 'vba']"
vba,".NET, SQL, VBA",25000.0,35000.0,"['net', 'sql', 'vba']"
python,"Python, SQL",87000.0,111000.0,"['python', 'sql']"
sql,"Python, SQL",87000.0,111000.0,"['python', 'sql']"
bash/shell,"Bash/Shell, Google Apps Script ",60000.0,75000.0,"['bash/shell', 'google', 'apps', 'script']"
python,Python,67000.0,79999.0,['python']
bash/shell,"Bash/Shell, Javascript, Python, SQL",34000.0,35000.0,"['bash/shell', 'javascript', 'python', 'sql']"
javascript,"Bash/Shell, Javascript, Python, SQL",34000.0,35000.0,"['bash/shell', 'javascript', 'python', 'sql']"
python,"Bash/Shell, Javascript, Python, SQL",34000.0,35000.0,"['bash/shell', 'javascript', 'python', 'sql']"
sql,"Bash/Shell, Javascript, Python, SQL",34000.0,35000.0,"['bash/shell', 'javascript', 'python', 'sql']"
html,"HTML, Javascript, Rust, TypeScript",193000.0,200000.0,"['html', 'javascript', 'rust', 'typescript']"
javascript,"HTML, Javascript, Rust, TypeScript",193000.0,200000.0,"['html', 'javascript', 'rust', 'typescript']"
typescript,"HTML, Javascript, Rust, TypeScript",193000.0,200000.0,"['html', 'javascript', 'rust', 'typescript']"
bash/shell,"Bash/Shell, HTML, Javascript, Python",75000.0,92000.0,"['bash/shell', 'html', 'javascript', 'python']"
html,"Bash/Shell, HTML, Javascript, Python",75000.0,92000.0,"['bash/shell', 'html', 'javascript', 'python']"
javascript,"Bash/Shell, HTML, Javascript, Python",75000.0,92000.0,"['bash/shell', 'html', 'javascript', 'python']"
python,"Bash/Shell, HTML, Javascript, Python",75000.0,92000.0,"['bash/shell', 'html', 'javascript', 'python']"
bash/shell,"Bash/Shell, Perl, PHP, Python",97000.0,152200.0,"['bash/shell', 'perl', 'php', 'python']"
php,"Bash/Shell, Perl, PHP, Python",97000.0,152200.0,"['bash/shell', 'perl', 'php', 'python']"
python,"Bash/Shell, Perl, PHP, Python",97000.0,152200.0,"['bash/shell', 'perl', 'php', 'python']"
bash/shell,"Bash/Shell, Javascript, PHP, Python",90000.0,120000.0,"['bash/shell', 'javascript', 'php', 'python']"
javascript,"Bash/Shell, Javascript, PHP, Python",90000.0,120000.0,"['bash/shell', 'javascript', 'php', 'python']"
php,"Bash/Shell, Javascript, PHP, Python",90000.0,120000.0,"['bash/shell', 'javascript', 'php', 'python']"
python,"Bash/Shell, Javascript, PHP, Python",90000.0,120000.0,"['bash/shell', 'javascript', 'php', 'python']"
